onset	duration	brlr
40.40	0.04	15
40.44	0.04	16
40.48	0.04	15
40.52	0.04	15
40.56	0.04	16
40.60	0.04	15
40.64	0.04	14
40.68	0.04	16
40.72	0.04	15
40.76	0.04	15
40.80	0.04	16
40.84	0.04	17
40.88	0.04	18
40.92	0.04	18
40.96	0.04	20
41.00	0.04	20
41.04	0.04	20
41.08	0.04	21
41.12	0.04	21
41.16	0.04	22
41.20	0.04	22
41.24	0.04	22
41.28	0.04	23
41.32	0.04	23
41.36	0.04	23
41.40	0.04	21
41.44	0.04	21
41.48	0.04	20
41.52	0.04	21
41.56	0.04	19
41.60	0.04	20
41.64	0.04	21
41.68	0.04	20
41.72	0.04	20
41.76	0.04	20
41.80	0.04	20
41.84	0.04	20
41.88	0.04	19
41.92	0.04	19
41.96	0.04	20
42.00	0.04	20
42.04	0.04	19
42.08	0.04	19
42.12	0.04	19
42.16	0.04	20
42.20	0.04	19
42.24	0.04	20
42.28	0.04	19
42.32	0.04	19
42.36	0.04	19
42.40	0.04	20
42.44	0.04	19
42.48	0.04	20
42.52	0.04	19
42.56	0.04	20
42.60	0.04	20
42.64	0.04	20
42.68	0.04	20
42.72	0.04	20
42.76	0.04	20
42.80	0.04	20
42.84	0.04	19
42.88	0.04	20
42.92	0.04	20
42.96	0.04	20
43.00	0.04	20
43.04	0.04	19
43.08	0.04	20
43.12	0.04	22
43.16	0.04	21
43.20	0.04	23
43.24	0.04	24
43.28	0.04	25
43.32	0.04	25
43.36	0.04	24
43.40	0.04	25
43.44	0.04	27
43.48	0.04	26
43.52	0.04	25
43.56	0.04	24
43.60	0.04	23
43.64	0.04	23
43.68	0.04	24
43.72	0.04	23
43.76	0.04	24
43.80	0.04	26
43.84	0.04	29
43.88	0.04	31
43.92	0.04	30
43.96	0.04	31
44.00	0.04	32
44.04	0.04	32
44.08	0.04	32
44.12	0.04	31
44.16	0.04	29
44.20	0.04	27
44.24	0.04	24
44.28	0.04	22
44.32	0.04	20
44.36	0.04	20
44.40	0.04	20
44.44	0.04	20
44.48	0.04	22
44.52	0.04	21
44.56	0.04	22
44.60	0.04	23
44.64	0.04	23
44.68	0.04	25
44.72	0.04	25
44.76	0.04	26
44.80	0.04	27
44.84	0.04	28
44.88	0.04	28
44.92	0.04	28
44.96	0.04	27
45.00	0.04	26
45.04	0.04	26
45.08	0.04	25
45.12	0.04	24
45.16	0.04	25
45.20	0.04	23
